#,1st author,year,journal,url,location,mean_annual_precip (mm),study_length (yrs),diversity_meas,N (all water treatments),year,timing_trt_pct,timing_trt_days,diversity,uncertainty,uncertainty meas. ,notes,more notes
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD4,"37¡0_N, 2¡26_W",230,0.66,Richness,15,0.66,0%,7,5.06,0.57,sd,aggregated with rainfall decrease treatment :(,
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD5,"37¡0_N, 2¡26_W",230,0.66,Richness,15,0.66,100%,14,4.88,0.68,sd,aggregated with rainfall decrease treatment :(,
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD6,"37¡0_N, 2¡26_W",230,0.66,Richness,15,0.66,342%,31,6.22,0.84,sd,aggregated with rainfall decrease treatment :(,
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD4,"37¡5_N, 2¡21_W",250,0.66,Richness,15,0.66,0%,7,1.59,0.41,sd,aggregated with rainfall decrease treatment :(,
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD5,"37¡5_N, 2¡21_W",250,0.66,Richness,15,0.66,100%,14,2.06,0.35,sd,aggregated with rainfall decrease treatment :(,
4,miranda,2009,Journal of Vegetation Science,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2009.05680.x?casa_token=VEAqyfDrQh0AAAAA%3A_ILAwse5YFnI7ZBZIpCJ186AHSKg9HHN12-3mFGofFXa71k0nRojI6EvzSa5mYWPlgH4rC35TO2PdpD6,"37¡5_N, 2¡21_W",250,0.66,Richness,15,0.66,342%,31,1.47,0.31,sd,aggregated with rainfall decrease treatment :(,
5,Densmore-McCulloch,2016,PLOS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168663,680869E 5622735N,279,1,Richness,90,1,0%,7,3.92,1.38,sd,,
5,Densmore-McCulloch,2016,PLOS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168664,680869E 5622735N,279,1,Richness,90,1,342%,31,3.45,1.51,sd,,
5,Densmore-McCulloch,2016,PLOS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168663,"0680873E, 5625967N",279,1,Richness,90,1,0%,7,8.58,2.19,sd,,
5,Densmore-McCulloch,2016,PLOS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168664,"0680873E, 5625967N",279,1,Richness,90,1,342%,31,7.75,1.71,sd,,
5,Densmore-McCulloch,2016,PLOS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168663,"0679866E, 5629464N",279,1,Richness,90,1,0%,7,5.85,1.88,sd,,
5,Densmore-McCulloch,2016,PLOS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0168664,"0679866E, 5629464N",279,1,Richness,90,1,342%,31,8.42,1.24,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-5,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.06,-64%,4,1.89,0.24,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-6,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.06,-45%,6,3.15,0.14,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-7,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.06,-9%,10,3.73,0.29,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-8,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.06,0%,11,3.87,0.26,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-5,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.11,-64%,4,1.57,0.23,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-6,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.11,-45%,6,3.41,0.15,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-7,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.11,-9%,10,3.58,0.17,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-8,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.11,0%,11,4.6,0.19,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-5,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.16,-64%,4,3,0.22,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-6,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.16,-45%,6,5.56,0.37,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-7,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.16,-9%,10,4.16,0.14,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-8,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.16,0%,11,4.6,0.36,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-5,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.22,-64%,4,4.89,0.22,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-6,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.22,-45%,6,6.29,0.32,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-7,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.22,-9%,10,6.58,0.42,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-8,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.22,0%,11,7.41,0.45,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-5,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.27,-64%,4,4.6,0.28,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-6,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.27,-45%,6,7.29,0.21,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-7,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.27,-9%,10,7.4,0.41,sd,,
6,xiangfei,2016,Journal of Arid Land,https://link.springer.com/article/10.1007/s40333-016-0044-8,"42¡55_N, 120¡42_E",342,0.27,Richness,28,0.27,0%,11,7.45,0.46,sd,,
7,Ma,2015,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-015-4077-4/tables/4,"42¡55_N, 120¡42_E",342,1.08,Richness,36,0.08,-63%,2,1,0,sd,,
7,Ma,2015,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-015-4077-4/tables/5,"42¡55_N, 120¡42_E",342,1.08,Richness,36,0.08,-25%,4,6,0.33,sd,,
7,Ma,2015,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-015-4077-4/tables/6,"42¡55_N, 120¡42_E",342,1.08,Richness,36,0.08,50%,8,7,0.33,sd,,
7,Ma,2015,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-015-4077-4/tables/7,"42¡55_N, 120¡42_E",342,1.08,Richness,36,0.08,0%,5,4,0.33,sd,,
7,Ma,2015,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-015-4077-4/tables/4,"42¡55_N, 120¡42_E",342,1.08,Richness,36,0.08,-63%,2,1,0,sd,,
7,Ma,2015,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-015-4077-4/tables/5,"42¡55_N, 120¡42_E",342,1.08,Richness,36,0.08,-25%,4,8,0.33,sd,,
7,Ma,2015,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-015-4077-4/tables/6,"42¡55_N, 120¡42_E",342,1.08,Richness,36,0.08,50%,8,7,0.33,sd,,
7,Ma,2015,Environmental Earth Sciences,https://link.springer.com/article/10.1007/s12665-015-4077-4/tables/7,"42¡55_N, 120¡42_E",342,1.08,Richness,36,0.08,0%,5,5,0.33,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-2,"lat. 51.406371, long. _0.648648",833,1.5,Richness,8,0,0%,5,7.99,1.08,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-3,"lat. 51.406371, long. _0.648649",833,1.5,Richness,8,0.33,0%,5,8.99,0.41,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-4,"lat. 51.406371, long. _0.648650",833,1.5,Richness,8,0.92,0%,5,9.75,1.18,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-5,"lat. 51.406371, long. _0.648651",833,1.5,Richness,8,1.08,0%,5,6.25,0.25,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-6,"lat. 51.406371, long. _0.648652",833,1.5,Richness,8,1.25,0%,5,7.25,1.02,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-2,"lat. 51.406371, long. _0.648648",833,1.5,Richness,8,0,461%,29,6.48,0.97,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-3,"lat. 51.406371, long. _0.648649",833,1.5,Richness,8,0.33,461%,29,7.75,0.84,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-4,"lat. 51.406371, long. _0.648650",833,1.5,Richness,8,0.92,461%,29,9.49,1.19,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-5,"lat. 51.406371, long. _0.648651",833,1.5,Richness,8,1.08,461%,29,6.51,0.48,sd,,
8,fry,2014,Plant and soil,https://link.springer.com/article/10.1007/s11104-014-2137-6,"lat. 51.406371, long. _0.648652",833,1.5,Richness,8,1.25,461%,29,3.25,1.9,sd,,
10,He,2022,Ecological Indicators,https://www-sciencedirect-com.ezproxy.princeton.edu/science/article/pii/S1470160X22011748#f0015,"37¡42_31_N, 107¡13_37_E,",311,1.5,Margalefs Richness,18,1.5,0%,5,3,0,sd,,
10,He,2022,Ecological Indicators,https://www-sciencedirect-com.ezproxy.princeton.edu/science/article/pii/S1470160X22011748#f0016,"37¡42_31_N, 107¡13_37_E,",311,1.5,Margalefs Richness,18,1.5,300%,15,4,0,sd,,
10,He,2022,Ecological Indicators,https://www-sciencedirect-com.ezproxy.princeton.edu/science/article/pii/S1470160X22011748#f0017,"37¡42_31_N, 107¡13_37_E,",311,1.5,Margalefs Richness,18,1.5,0%,5,5,1,sd,also removed water,
10,He,2022,Ecological Indicators,https://www-sciencedirect-com.ezproxy.princeton.edu/science/article/pii/S1470160X22011748#f0018,"37¡42_31_N, 107¡13_37_E,",311,1.5,Margalefs Richness,18,1.5,300%,15,3.67,0.577,sd,also removed water,
10,He,2022,Ecological Indicators,https://www-sciencedirect-com.ezproxy.princeton.edu/science/article/pii/S1470160X22011748#f0019,"37¡42_31_N, 107¡13_37_E,",311,1.5,Margalefs Richness,18,1.5,0%,5,4.66,0.577,sd,also added water,
10,He,2022,Ecological Indicators,https://www-sciencedirect-com.ezproxy.princeton.edu/science/article/pii/S1470160X22011748#f0020,"37¡42_31_N, 107¡13_37_E,",311,1.5,Margalefs Richness,18,1.5,300%,15,3.67,0.577,sd,also added water,
9,Grant,2017,Ecosystems,https://link.springer.com/article/10.1007/s10021-017-0122-3,"49¡55_19_N, 11¡34_55_E",724,5,Richness,15,5,,,,,,,
9,Grant,2017,Ecosystems,https://link.springer.com/article/10.1007/s10021-017-0122-4,"49¡55_19_N, 11¡34_55_E",724,5,Richness,15,5,,,,,,,
9,Grant,2017,Ecosystems,https://link.springer.com/article/10.1007/s10021-017-0122-5,"49¡55_19_N, 11¡34_55_E",724,5,Richness,15,5,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Accidental Frequency manipulation,,,,,,,,,,,,,,,,,
1,Harrison,2017,global change biology,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.14018?casa_token=ViUmKvL6tTAAAAAA%3AhbM7NOK8zEoHGTxmB_YEaS_xqe0MDW_mipA1C5ams1uZiuR-i3QxD9mKkIv-AD5pyM-j9wPgvJiVVxP6,,,,,,,,,,,,,
2,byrne,2016,journal of vegetation science,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12486?casa_token=3FNHswbd-IsAAAAA%3AMvSDAy896XQ6gfYpEmzFXGCTNwB1AVBGKzF_9Fpj37rheIb9rsSkTx3bFP0l4jZa0_hdRkXGO9n63OKR,,,,,,,,,,,,,
3,baez,2013,oecologia,https://link.springer.com/article/10.1007/s00442-012-2552-0,,,,,,,,,,,,,
4,Derner,2011,rangeland ecology and management,https://www.sciencedirect.com/science/article/abs/pii/S1550742411500454,,,,,,,,,,,,,
5,collings,2012,functional ecology,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2435.2012.01995.x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
https://www.nature.com/articles/s41467-021-22766-0,,,,,,,,,,,,,,,,,
