,study_id,study_url,latitude,longitude,study,site,site_block,replicate,precip_direction,precip_duration,replicates,delta_precip,map,lrr_s,freq_direction,delta_freq,treatment_start_date,treatment_end_date,storm_size_direction,delta_storm_size,notes
43,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170117,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - C,1,incr.P,4,3,18,872,0.587786665,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
44,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170118,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - C,2,incr.P,4,3,18,872,0.619039208,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
45,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170119,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - C,3,incr.P,4,3,18,872,0.773189888,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
46,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170120,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - D,1,incr.P,4,3,18,872,0,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
47,Eskelinen_2015a.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170121,38.86666667,-122.4333333,Eskelinen_2015,Harshserp,Harshserp - D,2,incr.P,4,3,18,872,0,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
48,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170122,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - A,1,incr.P,4,3,18,872,-0.171850257,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
49,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170123,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - A,2,incr.P,4,3,18,872,0.510825624,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
50,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170124,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - A,3,incr.P,4,3,18,872,-0.268263987,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
51,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170125,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - A,4,incr.P,4,3,18,872,0.105360516,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
52,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170126,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - A,5,incr.P,4,3,18,872,-0.427444015,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
53,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170127,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - B,1,incr.P,4,3,18,872,-0.171850257,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
54,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170128,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - C,1,incr.P,4,3,18,872,-0.459532329,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
55,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170129,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - C,2,incr.P,4,3,18,872,-0.336472237,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
56,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170130,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - C,3,incr.P,4,3,18,872,0.798507696,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
57,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170131,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - D,1,incr.P,4,3,18,872,0.451985124,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
58,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170132,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - D,2,incr.P,4,3,18,872,-0.587786665,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
59,Eskelinen_2015b.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170133,38.86666667,-122.4333333,Eskelinen_2015,Lushserp,Lushserp - D,3,incr.P,4,3,18,872,-0.753771802,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
60,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170134,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - A,1,incr.P,4,3,18,872,-0.111225635,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
61,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170135,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - A,2,incr.P,4,3,18,872,0.287682072,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
62,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170136,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - A,3,incr.P,4,3,18,872,0.162518929,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
63,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170137,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - B,1,incr.P,4,3,18,872,-0.3254224,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
64,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170138,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - B,2,incr.P,4,3,18,872,-0.139761942,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
65,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170139,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - C,1,incr.P,4,3,18,872,-0.236388778,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
66,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170140,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - C,2,incr.P,4,3,18,872,-0.171850257,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
67,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170141,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - C,3,incr.P,4,3,18,872,-0.15415068,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
68,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170142,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - D,1,incr.P,4,3,18,872,0.105360516,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
69,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170143,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - D,2,incr.P,4,3,18,872,1.049822124,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
70,Eskelinen_2015c.csv,https://www.pnas.org/doi/epdf/10.1073/pnas.1508170144,38.86666667,-122.4333333,Eskelinen_2015,Nonserp,Nonserp - D,3,incr.P,4,3,18,872,-0.492476485,increase,,3/15/10,7/1/14,,,Added 2.5cm once a week for eight weeks beginning one week after cessation of winter rains
71,Fry_2014a.csv,https://link.springer.com/article/10.1007/s11104-014-2137-2#Sec19,51.406371,-0.648648,Fry_2014,Silwood.Park,Silwood.Park - B,2,decr.P,2,4,7,640,0,unchanged,0,3/1/09,8/24/10,decrease,-0.30,
72,Fry_2014a.csv,https://link.springer.com/article/10.1007/s11104-014-2137-2#Sec20,51.406371,-0.648648,Fry_2014,Silwood.Park,Silwood.Park - C,3,decr.P,2,4,7,640,0.15415068,unchanged,0,3/1/09,8/24/10,decrease,-0.30,
73,Fry_2014a.csv,https://link.springer.com/article/10.1007/s11104-014-2137-2#Sec21,51.406371,-0.648648,Fry_2014,Silwood.Park,Silwood.Park - D,4,decr.P,2,4,7,640,-0.182321557,unchanged,0,3/1/09,8/24/10,decrease,-0.30,
74,Fry_2014a.csv,https://link.springer.com/article/10.1007/s11104-014-2137-2#Sec22,51.406371,-0.648648,Fry_2014,Silwood.Park,Silwood.Park - A,1,decr.P,2,4,7,640,0,unchanged,0,3/1/09,8/24/10,decrease,-0.30,
75,Fry_2014b.csv,https://link.springer.com/article/10.1007/s11104-014-2137-2#Sec23,51.406371,-0.648648,Fry_2014,Silwood.Park,Silwood.Park - B,2,decr.P,2,4,-4,640,0,unchanged,0,3/1/09,8/24/10,decrease,-0.30,
76,Fry_2014b.csv,https://link.springer.com/article/10.1007/s11104-014-2137-2#Sec24,51.406371,-0.648648,Fry_2014,Silwood.Park,Silwood.Park - C,3,decr.P,2,4,-4,640,0,unchanged,0,3/1/09,8/24/10,decrease,-0.30,
77,Fry_2014b.csv,https://link.springer.com/article/10.1007/s11104-014-2137-2#Sec25,51.406371,-0.648648,Fry_2014,Silwood.Park,Silwood.Park - D,4,decr.P,2,4,-4,640,0,unchanged,0,3/1/09,8/24/10,decrease,-0.30,
78,Fry_2014b.csv,https://link.springer.com/article/10.1007/s11104-014-2137-2#Sec26,51.406371,-0.648648,Fry_2014,Silwood.Park,Silwood.Park - A,1,decr.P,2,4,-4,640,0.15415068,unchanged,0,3/1/09,8/24/10,decrease,-0.30,
79,Gilgen_2009a.csv,,47.21027778,8.14389,Gilgen_2009,Chamau,Chamau - A,1,decr.P,2,5,33,1522,0,decrease,,6/23/05,7/20/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from June 24 to Sep 19, in 2006 from 31 May to 17 Aug, and in 2007 from 2 May to 10 July"
80,Gilgen_2009a.csv,,47.21027778,8.14389,Gilgen_2009,Chamau,Chamau - A,2,decr.P,2,5,33,1522,-0.133531393,decrease,,6/24/05,7/21/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from June 24 to Sep 19, in 2006 from 31 May to 17 Aug, and in 2007 from 2 May to 10 July"
81,Gilgen_2009a.csv,,47.21027778,8.14389,Gilgen_2009,Chamau,Chamau - A,3,decr.P,2,5,33,1522,-0.84729786,decrease,,6/25/05,7/22/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from June 24 to Sep 19, in 2006 from 31 May to 17 Aug, and in 2007 from 2 May to 10 July"
82,Gilgen_2009a.csv,,47.21027778,8.14389,Gilgen_2009,Chamau,Chamau - A,4,decr.P,2,5,33,1522,0.15415068,decrease,,6/26/05,7/23/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from June 24 to Sep 19, in 2006 from 31 May to 17 Aug, and in 2007 from 2 May to 10 July"
83,Gilgen_2009a.csv,,47.21027778,8.14389,Gilgen_2009,Chamau,Chamau - A,5,decr.P,2,5,33,1522,-0.223143551,decrease,,6/27/05,7/24/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from June 24 to Sep 19, in 2006 from 31 May to 17 Aug, and in 2007 from 2 May to 10 July"
84,Gilgen_2009b.csv,,47.11583333,8.13778,Gilgen_2009,Fruebuel,Fruebuel - A,1,decr.P,2,6,36,1574,0.451985124,decrease,,6/28/05,7/25/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from 23 June to 19 Sep, in 2006 from 31 May to 17 Aug, and in 2007 from 7 May to 20 July"
85,Gilgen_2009b.csv,,47.11583333,8.13778,Gilgen_2009,Fruebuel,Fruebuel - A,2,decr.P,2,6,36,1574,-0.117783036,decrease,,6/29/05,7/26/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from 23 June to 19 Sep, in 2006 from 31 May to 17 Aug, and in 2007 from 7 May to 20 July"
86,Gilgen_2009b.csv,,47.11583333,8.13778,Gilgen_2009,Fruebuel,Fruebuel - A,3,decr.P,2,6,36,1574,0.133531393,decrease,,6/30/05,7/27/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from 23 June to 19 Sep, in 2006 from 31 May to 17 Aug, and in 2007 from 7 May to 20 July"
87,Gilgen_2009b.csv,,47.11583333,8.13778,Gilgen_2009,Fruebuel,Fruebuel - A,4,decr.P,2,6,36,1574,-0.287682072,decrease,,7/1/05,7/28/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from 23 June to 19 Sep, in 2006 from 31 May to 17 Aug, and in 2007 from 7 May to 20 July"
88,Gilgen_2009b.csv,,47.11583333,8.13778,Gilgen_2009,Fruebuel,Fruebuel - A,5,decr.P,2,6,36,1574,0.182321557,decrease,,7/2/05,7/29/07,,,"removed all precip for a period of time that was enough to reduce precip by ~45%. In 2005, removed all precip from 23 June to 19 Sep, in 2006 from 31 May to 17 Aug, and in 2007 from 7 May to 20 July"
89,Grime_2008a.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567105,53.23333333,-1.9,Grime_2008,Buxton,Buxton - A,1,decr.P,16,5,-11,1001,-0.245122458,decrease,,7/1/94,9/1/05,unchanged,,"remove all precip July and Aug 1994-2003, then unchanged in 2004 and 2006, but drought in 2005 "
90,Grime_2008a.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567106,53.23333333,-1.9,Grime_2008,Buxton,Buxton - B,2,decr.P,16,5,-11,1001,-0.060624622,decrease,,7/1/94,9/1/05,unchanged,,"remove all precip July and Aug 1994-2003, then unchanged in 2004 and 2006, but drought in 2006"
91,Grime_2008a.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567107,53.23333333,-1.9,Grime_2008,Buxton,Buxton - C,3,decr.P,16,5,-11,1001,-0.251314428,decrease,,7/1/94,9/1/05,unchanged,,"remove all precip July and Aug 1994-2003, then unchanged in 2004 and 2006, but drought in 2007"
92,Grime_2008a.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567108,53.23333333,-1.9,Grime_2008,Buxton,Buxton - D,4,decr.P,16,5,-11,1001,0,decrease,,7/1/94,9/1/05,unchanged,,"remove all precip July and Aug 1994-2003, then unchanged in 2004 and 2006, but drought in 2008"
93,Grime_2008a.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567109,53.23333333,-1.9,Grime_2008,Buxton,Buxton - E,5,decr.P,16,5,-11,1001,-0.459532329,decrease,,7/1/94,9/1/05,unchanged,,"remove all precip July and Aug 1994-2003, then unchanged in 2004 and 2006, but drought in 2009"
94,Grime_2008b.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567110,53.23333333,-1.9,Grime_2008,Buxton,Buxton - A,1,incr.P,16,5,7,1001,-0.362905494,increase,,7/1/94,9/1/05,,,Increase precipitation to 20% above long term (1972-1982) average through monthly additions from June to September
95,Grime_2008b.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567111,53.23333333,-1.9,Grime_2008,Buxton,Buxton - B,2,incr.P,16,5,7,1001,0.111225635,increase,,7/1/94,9/1/05,,,Increase precipitation to 20% above long term (1972-1982) average through monthly additions from June to September
96,Grime_2008b.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567112,53.23333333,-1.9,Grime_2008,Buxton,Buxton - C,3,incr.P,16,5,7,1001,0.200670695,increase,,7/1/94,9/1/05,,,Increase precipitation to 20% above long term (1972-1982) average through monthly additions from June to September
97,Grime_2008b.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567113,53.23333333,-1.9,Grime_2008,Buxton,Buxton - D,4,incr.P,16,5,7,1001,0.057158414,increase,,7/1/94,9/1/05,,,Increase precipitation to 20% above long term (1972-1982) average through monthly additions from June to September
98,Grime_2008b.csv,https://www.pnas.org/doi/abs/10.1073/pnas.0711567114,53.23333333,-1.9,Grime_2008,Buxton,Buxton - E,5,incr.P,16,5,7,1001,-0.054067221,increase,,7/1/94,9/1/05,,,Increase precipitation to 20% above long term (1972-1982) average through monthly additions from June to September
99,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-3,39.25,-121.28333,Hallett_2017,SFREC,SFREC - B,1,decr.P,2,8,-45,1034,-0.182321557,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
100,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-4,39.25,-121.28333,Hallett_2017,SFREC,SFREC - B,2,decr.P,2,8,-45,1034,0.287682072,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
